STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_LIZENZ;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_LIZENZ;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_LIZENZ;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_LIZENZ;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
118;Buss;Bussmann;Jürgen;ITC-C1068474;Kriese;Oliver;ITC-C1172148;Lachmayer;Michael;ITC-C1096530;Lachmayer;Yannik;ITC-C1138188;DEU ;;PRO-AM                                                      ;Dacia Logan;3;14:59:07.602;14:59:07.602;12:12.089;N;SP 3                                                        ;0000SP 3                                                        ;;SP 3    ;732,089;            ;1
118;Buss;Bussmann;Jürgen;ITC-C1068474;Kriese;Oliver;ITC-C1172148;Lachmayer;Michael;ITC-C1096530;Lachmayer;Yannik;ITC-C1138188;DEU ;;PRO-AM                                                      ;Dacia Logan;4;15:11:06.545;15:11:06.545;11:58.943;N;SP 3                                                        ;0000SP 3                                                        ;;SP 3    ;718,943;            ;1
120;Supa;Supaphongs;;IC-B-048;Jian Hong;Chen;IC-B-145;Kawamura;Naoki;IC-C-192;;;;THA ;Toyota Gazoo Racing Team Thailand;PRO-AM                                                      ;Toyota Corolla Altis;1;14:27:11.075;14:27:11.075;10:22.248;J;SP 3                                                        ;0000SP 3                                                        ;;SP 3    ;622,248;            ;3
122;Ludw;Ludwig;Peter;ITC-C-D2879-I-22-C;Nagelsdiek;Noah;ITC-C1160555;Renger;Reinhold;ITC-C1039748;Rosenberg;Maik;ITC-C1113893;USA ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);1;14:21:33.010;14:21:33.010;9:02.748;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;542,748;            ;2
122;Ludw;Ludwig;Peter;ITC-C-D2879-I-22-C;Nagelsdiek;Noah;ITC-C1160555;Renger;Reinhold;ITC-C1039748;Rosenberg;Maik;ITC-C1113893;USA ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);2;14:39:56.039;14:39:56.039;9:02.473;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;542,473;            ;3
122;Ludw;Ludwig;Peter;ITC-C-D2879-I-22-C;Nagelsdiek;Noah;ITC-C1160555;Renger;Reinhold;ITC-C1039748;Rosenberg;Maik;ITC-C1113893;USA ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);3;14:48:57.065;14:48:57.065;9:01.026;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;541,026;            ;3
122;Ludw;Ludwig;Peter;ITC-C-D2879-I-22-C;Nagelsdiek;Noah;ITC-C1160555;Renger;Reinhold;ITC-C1039748;Rosenberg;Maik;ITC-C1113893;USA ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);4;14:58:22.665;14:58:22.665;9:25.600;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;565,600;            ;3
122;Ludw;Ludwig;Peter;ITC-C-D2879-I-22-C;Nagelsdiek;Noah;ITC-C1160555;Renger;Reinhold;ITC-C1039748;Rosenberg;Maik;ITC-C1113893;USA ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);5;15:07:19.452;15:07:19.452;8:56.787;J;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;536,787;            ;3
122;Ludw;Ludwig;Peter;ITC-C-D2879-I-22-C;Nagelsdiek;Noah;ITC-C1160555;Renger;Reinhold;ITC-C1039748;Rosenberg;Maik;ITC-C1113893;USA ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);6;15:16:42.915;15:16:42.915;9:23.463;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;563,463;            ;3
123;Bünn;Bünnagel;Ben;ITC-C1172110;Kaya;Mustafa Mehmet;10104221457;Piana;Gabriele;386645;Stursberg;Mike;ITC-C1072924;DEU ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);1;14:23:20.762;14:23:20.762;8:52.424;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;532,424;            ;3
123;Bünn;Bünnagel;Ben;ITC-C1172110;Kaya;Mustafa Mehmet;10104221457;Piana;Gabriele;386645;Stursberg;Mike;ITC-C1072924;DEU ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);2;14:34:11.387;14:34:11.387;9:04.863;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;544,863;            ;3
123;Bünn;Bünnagel;Ben;ITC-C1172110;Kaya;Mustafa Mehmet;10104221457;Piana;Gabriele;386645;Stursberg;Mike;ITC-C1072924;DEU ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);3;14:42:48.150;14:42:48.150;8:36.763;J;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;516,763;            ;3
123;Bünn;Bünnagel;Ben;ITC-C1172110;Kaya;Mustafa Mehmet;10104221457;Piana;Gabriele;386645;Stursberg;Mike;ITC-C1072924;DEU ;BLACK FALCON;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);4;14:58:52.327;14:58:52.327;9:23.562;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;563,562;            ;2
125;Sche;Schell;Jacob;ITC-C1111862;Wehrmann;Hans;ITC-C1152698;Aust;Stefan;ITC-C1095729;Bollrath;Christian;ITC-C1120391;DEU ;Huber Motorsport;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);1;14:21:46.663;14:21:46.663;9:13.363;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;553,363;            ;2
125;Sche;Schell;Jacob;ITC-C1111862;Wehrmann;Hans;ITC-C1152698;Aust;Stefan;ITC-C1095729;Bollrath;Christian;ITC-C1120391;DEU ;Huber Motorsport;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);2;14:30:56.822;14:30:56.822;9:10.159;J;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;550,159;            ;2
125;Sche;Schell;Jacob;ITC-C1111862;Wehrmann;Hans;ITC-C1152698;Aust;Stefan;ITC-C1095729;Bollrath;Christian;ITC-C1120391;DEU ;Huber Motorsport;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);3;14:46:23.346;14:46:23.346;9:17.499;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;557,499;            ;4
125;Sche;Schell;Jacob;ITC-C1111862;Wehrmann;Hans;ITC-C1152698;Aust;Stefan;ITC-C1095729;Bollrath;Christian;ITC-C1120391;DEU ;Huber Motorsport;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);4;14:56:02.701;14:56:02.701;9:39.355;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;579,355;            ;4
126;Kroh;Krohn;Tracy;D1608-I-22 B;Jönsson;Niclas;19670804-103608;Farnbacher;Mario;ITC-C1074242;Huisman;Patrick;INTB (NL)2205;USA ;RPM Racing;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);1;15:05:02.486;15:05:02.486;9:01.836;J;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;541,836;            ;2
128;Abbe;Abbelen;Klaus;ITB1049933;Harrison;Julian;ITC-C269663;von Danwitz;Hendrik;ITC-C1158890;Güven;Ayhancan;10104221444;DEU ;Frikadelli Racing Team;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);1;14:28:09.205;14:28:09.205;8:52.724;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;532,724;            ;4
128;Abbe;Abbelen;Klaus;ITB1049933;Harrison;Julian;ITC-C269663;von Danwitz;Hendrik;ITC-C1158890;Güven;Ayhancan;10104221444;DEU ;Frikadelli Racing Team;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);2;14:43:20.749;14:43:20.749;8:53.239;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;533,239;            ;3
128;Abbe;Abbelen;Klaus;ITB1049933;Harrison;Julian;ITC-C269663;von Danwitz;Hendrik;ITC-C1158890;Güven;Ayhancan;10104221444;DEU ;Frikadelli Racing Team;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);3;15:07:01.733;15:07:01.733;8:33.587;J;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;513,587;            ;4
131;Hopp;Hoppe;Marcel;ITC-C1049795;Salewsky;Nick;ITC-C 1166645;Rebhan;Michael;ITC-C1041632;Jung;Thorsten;ITC-C1076816;DEU ;Mühlner Motorsport SRL;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);1;14:22:50.427;14:22:50.427;8:46.615;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;526,615;H&R         ;2
131;Hopp;Hoppe;Marcel;ITC-C1049795;Salewsky;Nick;ITC-C 1166645;Rebhan;Michael;ITC-C1041632;Jung;Thorsten;ITC-C1076816;DEU ;Mühlner Motorsport SRL;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);2;14:31:29.897;14:31:29.897;8:39.470;J;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;519,470;H&R         ;2
132;Sloo;Slooten;Jan Erik;ITC-C1041696;Engstler;Luca;ITC-C1141579;Köhler;Leon;ITB1164981;Scheider;Timo;ITA1054011;DEU ;IronForce Racing by Phoenix;PRO                                                         ;Porsche 911 GT3 Cup (992);1;14:25:40.905;14:25:40.905;9:14.145;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;554,145;            ;3
132;Sloo;Slooten;Jan Erik;ITC-C1041696;Engstler;Luca;ITC-C1141579;Köhler;Leon;ITB1164981;Scheider;Timo;ITA1054011;DEU ;IronForce Racing by Phoenix;PRO                                                         ;Porsche 911 GT3 Cup (992);2;14:37:57.788;14:37:57.788;8:38.456;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;518,456;            ;3
132;Sloo;Slooten;Jan Erik;ITC-C1041696;Engstler;Luca;ITC-C1141579;Köhler;Leon;ITB1164981;Scheider;Timo;ITA1054011;DEU ;IronForce Racing by Phoenix;PRO                                                         ;Porsche 911 GT3 Cup (992);3;14:46:35.096;14:46:35.096;8:37.308;J;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;517,308;            ;3
135;Chrz;Chrzanowski;Robin;ITC-C1050422;Jodexnis;Kersten;ITC1065062;Scharmach;Peter;061670X;Koch;Max;ITC-C1099186;DEU ;Clickversicherung Team;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);1;14:33:34.125;14:33:34.125;9:34.223;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;574,223;            ;4
135;Chrz;Chrzanowski;Robin;ITC-C1050422;Jodexnis;Kersten;ITC1065062;Scharmach;Peter;061670X;Koch;Max;ITC-C1099186;DEU ;Clickversicherung Team;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);2;14:42:42.768;14:42:42.768;9:08.643;N;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;548,643;            ;4
135;Chrz;Chrzanowski;Robin;ITC-C1050422;Jodexnis;Kersten;ITC1065062;Scharmach;Peter;061670X;Koch;Max;ITC-C1099186;DEU ;Clickversicherung Team;PRO-AM                                                      ;Porsche 911 GT3 Cup (992);3;15:05:25.432;15:05:25.432;8:58.396;J;Cup 2                                                       ;0000Cup 2                                                       ;;Cup 2   ;538,396;            ;3
